epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5956,1.31398,2.45532,2.59518,1.32546,0.01498,0.83133,0.50142,0.26468,0.01259,0.6988,0.39077,0.11682,1.47586,1.34268,3.08958,1.3173,0.00327684,0.00327684,0.00327684
2,46.4683,1.1616,1.64783,1.67346,1.17779,0.55295,0.51406,0.45632,0.20265,0.43857,0.41767,0.2887,0.07494,1.6122,1.40279,2.83525,1.47972,0.00657745,0.00657745,0.00657745
3,63.3288,1.28796,1.63869,1.55444,1.24094,0.17291,0.32932,0.11305,0.03125,0.1233,0.24096,0.06032,0.01234,2.64057,1.77713,3.99351,3.01815,0.00984506,0.00984506,0.00984506
4,80.1578,1.36337,1.6688,1.45031,1.29437,0.12529,0.14056,0.04759,0.01443,0.05219,0.18474,0.02703,0.00589,2.50282,2.24425,4.69229,2.69189,0.0098515,0.0098515,0.0098515
5,96.9617,1.30337,1.63979,1.32432,1.26479,0.35448,0.53414,0.31202,0.10251,0.27995,0.44578,0.18961,0.04737,2.17913,1.37782,2.86077,2.17576,0.009802,0.009802,0.009802
6,113.718,1.26441,1.67184,1.27821,1.26084,0.35619,0.37349,0.29189,0.10174,0.25695,0.26104,0.14529,0.03392,2.32131,1.85491,2.93871,2.24815,0.0097525,0.0097525,0.0097525
7,130.495,1.22428,1.60501,1.22145,1.23006,0.49324,0.61044,0.49373,0.24097,0.36569,0.43373,0.2665,0.07167,1.67184,1.40573,1.92378,1.5851,0.009703,0.009703,0.009703
8,147.259,1.19203,1.59472,1.17561,1.21841,0.58125,0.51004,0.45289,0.22762,0.50159,0.37751,0.30113,0.08755,1.80193,1.43789,1.93216,1.67676,0.0096535,0.0096535,0.0096535
9,163.993,1.14889,1.54836,1.1146,1.2018,0.6026,0.5502,0.5413,0.28053,0.48488,0.44177,0.38566,0.11448,1.68454,1.35167,1.64322,1.64162,0.009604,0.009604,0.009604
10,180.715,1.12657,1.56797,1.10048,1.18522,0.64318,0.58637,0.55941,0.29626,0.51471,0.5261,0.40085,0.11739,1.6956,1.32939,1.5697,1.62019,0.0095545,0.0095545,0.0095545
