epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8088,1.13069,2.02455,1.43546,1.24804,0.60191,0.6988,0.59526,0.32019,0.49812,0.58196,0.41686,0.13824,1.4434,1.25308,1.55167,1.25692,0.00331903,0.00331903,0.00331903
2,90.2108,1.09647,1.54716,1.08581,1.17935,0.52082,0.4889,0.43016,0.21943,0.39505,0.4257,0.3049,0.08069,1.74249,1.44965,1.65238,1.58224,0.00661943,0.00661943,0.00661943
3,131.369,1.22956,1.58461,1.20648,1.2401,0.39044,0.47791,0.39006,0.19053,0.30863,0.38153,0.25919,0.07033,1.91231,1.39425,2.33571,1.67225,0.00988684,0.00988684,0.00988684
4,172.406,1.31643,1.65473,1.28531,1.3045,0.47061,0.54618,0.44213,0.20696,0.36311,0.47791,0.27313,0.06936,1.95373,1.49592,1.81205,1.72475,0.0098515,0.0098515,0.0098515
5,213.444,1.26046,1.60837,1.22318,1.28952,0.49059,0.55823,0.45548,0.24844,0.45751,0.45382,0.33719,0.10327,1.63395,1.47222,2.16339,1.50399,0.009802,0.009802,0.009802
6,254.446,1.2031,1.58912,1.16403,1.26488,0.66371,0.68957,0.65117,0.35391,0.56791,0.60174,0.47863,0.12333,1.64868,1.47292,1.47699,1.49049,0.0097525,0.0097525,0.0097525
7,295.509,1.18292,1.5835,1.12609,1.25032,0.64885,0.58635,0.60906,0.33055,0.52262,0.56718,0.47481,0.14577,1.63237,1.26835,1.42833,1.41396,0.009703,0.009703,0.009703
8,336.511,1.13967,1.57023,1.09992,1.22774,0.66282,0.68675,0.65076,0.38696,0.53184,0.55422,0.4469,0.12027,1.45043,1.29784,1.38866,1.388,0.0096535,0.0096535,0.0096535
9,377.563,1.12662,1.56093,1.07085,1.21904,0.7171,0.67188,0.68998,0.42133,0.6035,0.56627,0.51229,0.15155,1.35848,1.29343,1.27225,1.33664,0.009604,0.009604,0.009604
10,418.61,1.08242,1.54395,1.02628,1.20218,0.73465,0.67871,0.67244,0.42702,0.62768,0.56627,0.4979,0.16678,1.41382,1.28829,1.33175,1.30141,0.0095545,0.0095545,0.0095545
11,459.681,1.06585,1.52998,1.00556,1.18464,0.69105,0.66475,0.66679,0.41612,0.61173,0.58844,0.50832,0.16457,1.31035,1.25308,1.32475,1.25308,0.009505,0.009505,0.009505
12,500.69,1.07214,1.53267,1.01977,1.19531,0.72759,0.62249,0.66358,0.40667,0.60948,0.59544,0.52383,0.16503,1.36673,1.26871,1.31631,1.26787,0.0094555,0.0094555,0.0094555
13,541.714,1.05149,1.53746,0.98442,1.18224,0.74559,0.71796,0.72811,0.47191,0.63863,0.60643,0.5423,0.17241,1.27469,1.25637,1.2094,1.23672,0.009406,0.009406,0.009406
14,582.764,1.03531,1.50321,0.97518,1.17842,0.79763,0.66265,0.71926,0.47777,0.71159,0.58461,0.58079,0.18528,1.2102,1.23981,1.1768,1.15783,0.0093565,0.0093565,0.0093565
15,623.88,1.01774,1.50784,0.95015,1.16416,0.83624,0.67678,0.72911,0.48465,0.68977,0.55823,0.5125,0.18126,1.299,1.47398,1.25445,1.29028,0.009307,0.009307,0.009307
16,665.611,1.01747,1.48606,0.9278,1.17223,0.70233,0.6747,0.68947,0.45638,0.65751,0.55823,0.51639,0.16269,1.22423,1.2444,1.16704,1.21164,0.0092575,0.0092575,0.0092575
17,707.528,1.0023,1.47956,0.93594,1.15828,0.78373,0.72289,0.71165,0.48494,0.69719,0.63803,0.55658,0.17306,1.25528,1.31647,1.18582,1.26361,0.009208,0.009208,0.009208
18,749.433,0.99787,1.50966,0.94152,1.16042,0.7956,0.67871,0.74864,0.51166,0.69567,0.58635,0.57273,0.18728,1.18863,1.26045,1.08086,1.17519,0.0091585,0.0091585,0.0091585
19,791.421,0.98275,1.51206,0.90872,1.15355,0.77625,0.69665,0.73352,0.50093,0.66885,0.60026,0.55098,0.18334,1.14635,1.2446,1.0868,1.10329,0.009109,0.009109,0.009109
20,833.311,0.98764,1.49693,0.90547,1.1516,0.78676,0.66265,0.73736,0.49032,0.6973,0.58635,0.57666,0.17811,1.18799,1.24901,1.13969,1.13652,0.0090595,0.0090595,0.0090595
21,875.203,0.976,1.44376,0.87187,1.14539,0.79268,0.65863,0.72833,0.50165,0.69692,0.58179,0.57861,0.17885,1.19283,1.25629,1.14614,1.14176,0.00901,0.00901,0.00901
22,917.119,0.96757,1.47419,0.89659,1.14015,0.81519,0.70281,0.76054,0.51357,0.73405,0.61044,0.59975,0.19237,1.20935,1.25477,1.09466,1.15061,0.0089605,0.0089605,0.0089605
23,959.101,0.95047,1.46149,0.86905,1.13371,0.78728,0.72289,0.73679,0.49477,0.64652,0.53622,0.44627,0.14115,1.20705,1.64978,1.10313,1.22154,0.008911,0.008911,0.008911
24,1001,0.95626,1.45803,0.87202,1.14394,0.82092,0.69961,0.76288,0.52825,0.72174,0.61458,0.60377,0.19477,1.12927,1.25363,1.07804,1.09283,0.0088615,0.0088615,0.0088615
25,1042.94,0.92181,1.4383,0.83948,1.11873,0.65767,0.60952,0.62367,0.41271,0.59627,0.53815,0.502,0.15733,1.34324,1.39762,1.36831,1.29591,0.008812,0.008812,0.008812
26,1084.86,0.92907,1.45109,0.84264,1.11858,0.78064,0.7146,0.73159,0.51585,0.67822,0.61792,0.58145,0.18585,1.10126,1.23917,1.08779,1.09093,0.0087625,0.0087625,0.0087625
27,1126.79,0.92195,1.44965,0.83583,1.12038,0.81004,0.70216,0.74503,0.53347,0.69568,0.62431,0.58969,0.20087,1.08604,1.23735,1.01108,1.10174,0.008713,0.008713,0.008713
28,1168.76,0.91128,1.42293,0.83767,1.10721,0.78777,0.71084,0.78054,0.55164,0.78136,0.60643,0.64795,0.21534,1.09537,1.23134,1.04968,1.11806,0.0086635,0.0086635,0.0086635
29,1210.7,0.90605,1.43028,0.80364,1.10036,0.73887,0.72725,0.74705,0.55104,0.67402,0.61446,0.56653,0.19429,1.00299,1.23835,1.02737,1.04177,0.008614,0.008614,0.008614
30,1252.64,0.90637,1.42756,0.81997,1.10639,0.79391,0.74261,0.75922,0.53207,0.69094,0.56563,0.52914,0.16787,1.08977,1.45976,1.0562,1.11294,0.0085645,0.0085645,0.0085645
31,1294.56,0.88685,1.42342,0.80457,1.10318,0.75637,0.72289,0.75728,0.55823,0.72924,0.55823,0.58645,0.20272,1.02992,1.25124,1.0177,1.05771,0.008515,0.008515,0.008515
32,1336.46,0.90744,1.42471,0.82442,1.10879,0.78746,0.72691,0.77826,0.55548,0.73752,0.65462,0.64155,0.19832,1.04096,1.23391,1.06396,1.06931,0.0084655,0.0084655,0.0084655
33,1378.37,0.91244,1.40867,0.81001,1.11273,0.74826,0.6685,0.73982,0.54632,0.60975,0.63454,0.59405,0.19845,1.04059,1.24177,1.04827,1.07583,0.008416,0.008416,0.008416
34,1420.28,0.89,1.40415,0.79763,1.09868,0.78791,0.73896,0.7513,0.53678,0.69848,0.65462,0.61362,0.19988,1.03314,1.21249,1.05653,1.08964,0.0083665,0.0083665,0.0083665
35,1462.23,0.90359,1.42144,0.81318,1.10294,0.84144,0.66667,0.7653,0.56998,0.72821,0.58635,0.60273,0.19632,1.06855,1.23524,0.99483,1.08936,0.008317,0.008317,0.008317
36,1504.15,0.88649,1.42761,0.78696,1.09226,0.8017,0.69816,0.75737,0.5404,0.69778,0.612,0.59754,0.18763,1.05367,1.22944,1.04272,1.06026,0.0082675,0.0082675,0.0082675
37,1546.06,0.8775,1.39865,0.77661,1.09418,0.82717,0.73896,0.7736,0.57016,0.75128,0.64659,0.60322,0.19468,1.00189,1.23383,0.96958,1.04961,0.008218,0.008218,0.008218
38,1587.97,0.87728,1.40567,0.79318,1.0878,0.79576,0.70683,0.7607,0.54278,0.72146,0.61044,0.60807,0.19624,1.05258,1.17813,1.04536,1.07881,0.0081685,0.0081685,0.0081685
